DosageForm,Dosage,Drugname,TotalApprovals
CAPSULE;ORAL,40MG,STAVUDINE,4
CAPSULE;ORAL,40MG;1.1GM,"OMEPRAZOLE AND SODIUM BICARBONATE",4
CAPSULE;ORAL,"50,000 IU",ERGOCALCIFEROL,4
CAPSULE;ORAL,500MG,HYDROXYUREA,4
CAPSULE;ORAL,50MG,KETOPROFEN,4
CAPSULE;ORAL,75MG,KETOPROFEN,4
CAPSULE;ORAL,75MG;25MG,"NITROFURANTOIN (MONOHYDRATE/MACROCRYSTALS)",4
CAPSULE;ORAL,"EQ 10MG BASE","LOXAPINE SUCCINATE",4
CAPSULE;ORAL,"EQ 150MG BASE","RANITIDINE HYDROCHLORIDE",4
CAPSULE;ORAL,"EQ 250MG BASE","AMPICILLIN TRIHYDRATE",4
CAPSULE;ORAL,"EQ 25MG BASE","LOXAPINE SUCCINATE",4
CAPSULE;ORAL,"EQ 300MG BASE","RANITIDINE HYDROCHLORIDE",4
CAPSULE;ORAL,"EQ 500MG BASE","AMPICILLIN TRIHYDRATE",4
CAPSULE;ORAL,"EQ 50MG BASE","LOXAPINE SUCCINATE",4
CAPSULE;ORAL,"EQ 5MG BASE","LOXAPINE SUCCINATE",4
CAPSULE;ORAL,"EQ 75MG BASE","CLINDAMYCIN HYDROCHLORIDE",4
CONCENTRATE;ORAL,2MG/ML,LORAZEPAM,4
CONCENTRATE;ORAL,"EQ 10MG BASE/ML","DOXEPIN HYDROCHLORIDE",4
CONCENTRATE;ORAL,"EQ 2MG BASE/ML",HALOPERIDOL,4
CREAM;TOPICAL,0.01%,"FLUOCINOLONE ACETONIDE",4
CREAM;TOPICAL,0.025%,"FLUOCINOLONE ACETONIDE",4
CREAM;TOPICAL,0.05%,"FLUOCINONIDE EMULSIFIED BASE",4
CREAM;TOPICAL,0.05%,"HALOBETASOL PROPIONATE",4
CREAM;TOPICAL,0.1%,FLUOCINONIDE,4
CREAM;TOPICAL,0.25%,DESOXIMETASONE,4
CREAM;TOPICAL,1%,"ECONAZOLE NITRATE",4
CREAM;TOPICAL,"EQ 0.05% BASE;1%","CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE",4
CREAM;TOPICAL,"EQ 0.1% BASE","GENTAMICIN SULFATE",4
ELIXIR;ORAL,0.5MG/5ML,DEXAMETHASONE,4
ELIXIR;ORAL,12.5MG/5ML,"DIPHENHYDRAMINE HYDROCHLORIDE",4
ELIXIR;ORAL,80MG/15ML,THEOPHYLLINE,4
"FILM, EXTENDED RELEASE;TRANSDERMAL",0.1MG/24HR,CLONIDINE,4
"FILM, EXTENDED RELEASE;TRANSDERMAL",0.2MG/24HR,CLONIDINE,4
"FILM, EXTENDED RELEASE;TRANSDERMAL",0.2MG/HR,NITROGLYCERIN,4
"FILM, EXTENDED RELEASE;TRANSDERMAL",0.3MG/24HR,CLONIDINE,4
"FILM, EXTENDED RELEASE;TRANSDERMAL",0.4MG/HR,NITROGLYCERIN,4
"FOR SUSPENSION;ORAL","EQ 100MG BASE/5ML",AZITHROMYCIN,4
"FOR SUSPENSION;ORAL","EQ 125MG BASE/5ML","AMPICILLIN TRIHYDRATE",4
"FOR SUSPENSION;ORAL","EQ 200MG BASE/5ML",AZITHROMYCIN,4
"FOR SUSPENSION;ORAL","EQ 250MG BASE/5ML","AMPICILLIN TRIHYDRATE",4
GEL;TOPICAL,0.75%,METRONIDAZOLE,4
GEL;TOPICAL,3%,"DICLOFENAC SODIUM",4
GEL;TRANSDERMAL,"25MG/2.5GM PACKET",TESTOSTERONE,4
GEL;TRANSDERMAL,"50MG/5GM PACKET",TESTOSTERONE,4
GRANULE;ORAL,"EQ 4MG BASE/PACKET","MONTELUKAST SODIUM",4
INJECTABLE;INJECTION,0.004MG/ML,"DESMOPRESSIN ACETATE",4
INJECTABLE;INJECTION,0.02MG/ML,"NALOXONE HYDROCHLORIDE",4
INJECTABLE;INJECTION,0.2MG/ML,GLYCOPYRROLATE,4
INJECTABLE;INJECTION,"1.5GM/1.5ML (1GM/ML)",FOMEPIZOLE,4
INJECTABLE;INJECTION,100MG/ML,"MEPERIDINE HYDROCHLORIDE",4
INJECTABLE;INJECTION,100MG/ML,"PROCAINAMIDE HYDROCHLORIDE",4
INJECTABLE;INJECTION,100MG/ML,"TESTOSTERONE CYPIONATE",4
INJECTABLE;INJECTION,100MG/ML,"TRIMETHOBENZAMIDE HYDROCHLORIDE",4
INJECTABLE;INJECTION,10GM/100ML,"DEXTROSE 10% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,10MG/ML,"PROTAMINE SULFATE",4
INJECTABLE;SUBCUTANEOUS,"EQ 4MG BASE/0.5ML (EQ 8MG BASE/ML)","SUMATRIPTAN SUCCINATE",4
JELLY;TOPICAL,2%,"LIDOCAINE HYDROCHLORIDE",4
LIQUID;IRRIGATION,100%,"STERILE WATER IN PLASTIC CONTAINER",4
LOTION/SHAMPOO;TOPICAL,2.5%,"SELENIUM SULFIDE",4
OINTMENT;TOPICAL,0.005%,"FLUTICASONE PROPIONATE",4
OINTMENT;TOPICAL,0.2%,NITROFURAZONE,4
OINTMENT;TOPICAL,0.5%,"TRIAMCINOLONE ACETONIDE",4
OINTMENT;TOPICAL,2.5%,HYDROCORTISONE,4
OINTMENT;TOPICAL,"EQ 0.05% BASE","BETAMETHASONE DIPROPIONATE",4
OINTMENT;TOPICAL,"EQ 0.1% BASE","GENTAMICIN SULFATE",4
"POWDER;IV (INFUSION)",100MG/VIAL,"BENDAMUSTINE HYDROCHLORIDE",4
"POWDER;IV (INFUSION)",25MG/VIAL,"BENDAMUSTINE HYDROCHLORIDE",4
POWDER;ORAL,"EQ 4GM RESIN/PACKET","CHOLESTYRAMINE LIGHT",4
POWDER;ORAL,"EQ 4GM RESIN/SCOOPFUL","CHOLESTYRAMINE LIGHT",4
SHAMPOO;TOPICAL,1%,CICLOPIROX,4
SOLUTION;INHALATION,0.4%,"METAPROTERENOL SULFATE",4
SOLUTION;INHALATION,0.6%,"METAPROTERENOL SULFATE",4
SOLUTION;INHALATION,"EQ 0.5% BASE","ALBUTEROL SULFATE",4
SOLUTION;INJECTION,"150MG/30ML (5MG/ML)","ROPIVACAINE HYDROCHLORIDE",4
SOLUTION;INJECTION,"200MG/20ML (10MG/ML)","ROPIVACAINE HYDROCHLORIDE",4
SOLUTION;ORAL,325MG/15ML;7.5MG/15ML,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",4
SOLUTION;TOPICAL,0.005%,CALCIPOTRIENE,4
SOLUTION;TOPICAL,2%,"MINOXIDIL (FOR WOMEN)",4
SOLUTION;TOPICAL,4%,"LIDOCAINE HYDROCHLORIDE",4
SOLUTION/DROPS;OPHTHALMIC,0.05%,"EPINASTINE HYDROCHLORIDE",4
SOLUTION/DROPS;OPHTHALMIC,0.3%,TOBRAMYCIN,4
SOLUTION/DROPS;OPHTHALMIC,0.5%,"KETOROLAC TROMETHAMINE",4
SOLUTION/DROPS;OPHTHALMIC,0.5%,LEVOFLOXACIN,4
SOLUTION/DROPS;OPHTHALMIC,"EQ 0.5% BASE","BETAXOLOL HYDROCHLORIDE",4
SOLUTION/DROPS;OTIC,2%,"ACETIC ACID",4
"SPRAY, METERED;NASAL",0.021MG/SPRAY,"IPRATROPIUM BROMIDE",4
"SPRAY, METERED;NASAL",0.042MG/SPRAY,"IPRATROPIUM BROMIDE",4
"SPRAY, METERED;NASAL",5.2MG/SPRAY,"CROMOLYN SODIUM",4
"SPRAY, METERED;NASAL","EQ 0.125MG BASE/SPRAY","AZELASTINE HYDROCHLORIDE",4
SUSPENSION;INHALATION,0.25MG/2ML,BUDESONIDE,4
SUSPENSION;INHALATION,0.5MG/2ML,BUDESONIDE,4
SUSPENSION;ORAL,100MG/5ML,IBUPROFEN,4
SUSPENSION;ORAL,125MG/5ML,GRISEOFULVIN,4
SUSPENSION;ORAL,25MG/5ML,NITROFURANTOIN,4
SWAB;TOPICAL,2%,ERYTHROMYCIN,4
SYRUP;ORAL,1.5MG/5ML;5MG/5ML,"HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE",4
SYRUP;ORAL,15MG/5ML;6.25MG/5ML,"PROMETHAZINE HYDROCHLORIDE AND DEXTROMETHORPHAN HYDROBROMIDE",4
"TABLET, CHEWABLE;ORAL",0.035MG;0.4MG,"NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE",4
"TABLET, CHEWABLE;ORAL",10MG,"CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY",4
"TABLET, CHEWABLE;ORAL",125MG,AMOXICILLIN,4
"TABLET, CHEWABLE;ORAL",250MG,AMOXICILLIN,4
"TABLET, CHEWABLE;ORAL",5MG,"CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY",4
"TABLET, DELAYED RELEASE;ORAL","EQ 100MG BASE","DOXYCYCLINE HYCLATE",4
"TABLET, DELAYED RELEASE;ORAL","EQ 75MG BASE","DOXYCYCLINE HYCLATE",4
"TABLET, EXTENDED RELEASE; ORAL",10MG,"OXYCODONE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE; ORAL",20MG,"OXYCODONE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE; ORAL",40MG,"OXYCODONE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE; ORAL",80MG,"OXYCODONE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE;ORAL",0.1MG,"CLONIDINE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE;ORAL",0.2MG,"CLONIDINE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE;ORAL",100MG,"DICLOFENAC SODIUM",4
"TABLET, EXTENDED RELEASE;ORAL",1GM,NIACIN,4
"TABLET, EXTENDED RELEASE;ORAL",250MG,LAMOTRIGINE,4
"TABLET, EXTENDED RELEASE;ORAL",400MG,THEOPHYLLINE,4
"TABLET, EXTENDED RELEASE;ORAL","425.2MG;EQ 574.9MG BASE","CIPROFLOXACIN EXTENDED RELEASE",4
"TABLET, EXTENDED RELEASE;ORAL",450MG,THEOPHYLLINE,4
"TABLET, EXTENDED RELEASE;ORAL",500MG,NIACIN,4
"TABLET, EXTENDED RELEASE;ORAL",500MG,"PROCAINAMIDE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE;ORAL",600MG,ETODOLAC,4
"TABLET, EXTENDED RELEASE;ORAL",600MG,THEOPHYLLINE,4
"TABLET, EXTENDED RELEASE;ORAL",60MG;120MG,"FEXOFENADINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE;ORAL",650MG,ACETAMINOPHEN,4
"TABLET, EXTENDED RELEASE;ORAL",750MG,NIACIN,4
"TABLET, EXTENDED RELEASE;ORAL","EQ 105MG BASE","MINOCYCLINE HYDROCHLORIDE",4
"TABLET, EXTENDED RELEASE;ORAL","EQ 80MG BASE","MINOCYCLINE HYDROCHLORIDE",4
TABLET;ORAL,0.03MG;0.15MG,"LEVONORGESTREL AND ETHINYL ESTRADIOL",4
TABLET;ORAL,0.5MG;500MG,"PROBENECID AND COLCHICINE",4
TABLET;ORAL,0.75MG,ESTROPIPATE,4
TABLET;ORAL,1.5MG,ESTROPIPATE,4
TABLET;ORAL,100MG,DAPSONE,4
TABLET;ORAL,100MG,TRIMETHOPRIM,4
TABLET;ORAL,10MG,"CETIRIZINE HYDROCHLORIDE HIVES RELIEF",4
TABLET;ORAL,10MG,"DESIPRAMINE HYDROCHLORIDE",4
TABLET;ORAL,10MG,"DEXMETHYLPHENIDATE HYDROCHLORIDE",4
TABLET;ORAL,10MG,"KETOROLAC TROMETHAMINE",4
TABLET;ORAL,10MG,METOLAZONE,4
TABLET;ORAL,10MG,"MIDODRINE HYDROCHLORIDE",4
TABLET;ORAL,10MG,OXANDROLONE,4
TABLET;ORAL,10MG;12.5MG;160MG,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,10MG;25MG;160MG,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,10MG;25MG;320MG,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,10MG;2MG,"PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE",4
TABLET;ORAL,10MG;4MG,"PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE",4
TABLET;ORAL,12.5MG;40MG,"TELMISARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,12.5MG;80MG,"TELMISARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,"12.5MG;EQ 10MG BASE","QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,"12.5MG;EQ 20MG BASE","QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,150MG,CAPECITABINE,4
TABLET;ORAL,150MG,"RISEDRONATE SODIUM",4
TABLET;ORAL,15MG,"MOEXIPRIL HYDROCHLORIDE",4
TABLET;ORAL,15MG,"PROPANTHELINE BROMIDE",4
TABLET;ORAL,15MG,"THIORIDAZINE HYDROCHLORIDE",4
TABLET;ORAL,16MG,PERPHENAZINE,4
TABLET;ORAL,16MG;12.5MG,"CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,180MG,"FEXOFENADINE HYDROCHLORIDE",4
TABLET;ORAL,1MG,"TOLTERODINE TARTRATE",4
TABLET;ORAL,2.5MG,"DEXMETHYLPHENIDATE HYDROCHLORIDE",4
TABLET;ORAL,2.5MG,"METHSCOPOLAMINE BROMIDE",4
TABLET;ORAL,2.5MG,METHYCLOTHIAZIDE,4
TABLET;ORAL,2.5MG,"MIDODRINE HYDROCHLORIDE",4
TABLET;ORAL,2.5MG,OXANDROLONE,4
TABLET;ORAL,200MG,ENTACAPONE,4
TABLET;ORAL,20MG,HALOPERIDOL,4
TABLET;ORAL,20MG,"ISOSORBIDE DINITRATE",4
TABLET;ORAL,20MG,NADOLOL,4
TABLET;ORAL,250MG,DIFLUNISAL,4
TABLET;ORAL,250MG,TINIDAZOLE,4
TABLET;ORAL,250MG,URSODIOL,4
TABLET;ORAL,25MG,"CHLORPROMAZINE HYDROCHLORIDE",4
TABLET;ORAL,25MG,DAPSONE,4
TABLET;ORAL,25MG;15MG,"CAPTOPRIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,25MG;25MG,"CAPTOPRIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,25MG;2MG,"PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE",4
TABLET;ORAL,25MG;300MG,"IRBESARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,25MG;37.5MG,"TRIAMTERENE AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,25MG;4MG,"PERPHENAZINE AND AMITRIPTYLINE HYDROCHLORIDE",4
TABLET;ORAL,25MG;80MG,"TELMISARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,"25MG;EQ 20MG BASE","QUINAPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,2MG,"HYDROMORPHONE HYDROCHLORIDE",4
TABLET;ORAL,2MG,PERPHENAZINE,4
TABLET;ORAL,2MG,"TOLTERODINE TARTRATE",4
TABLET;ORAL,300MG,"LITHIUM CARBONATE",4
TABLET;ORAL,30MG,"FEXOFENADINE HYDROCHLORIDE",4
TABLET;ORAL,30MG;500MG,"METHYLDOPA AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,325MG;200MG,"CARISOPRODOL AND ASPIRIN",4
TABLET;ORAL,32MG;12.5MG,"CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,32MG;25MG,"CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,3MG,ESTROPIPATE,4
TABLET;ORAL,3MG;0.02MG,"DROSPIRENONE AND ETHINYL ESTRADIOL",4
TABLET;ORAL,40MG,"MEGESTROL ACETATE",4
TABLET;ORAL,4MG,PERPHENAZINE,4
TABLET;ORAL,500MG,AMOXICILLIN,4
TABLET;ORAL,500MG,CAPECITABINE,4
TABLET;ORAL,500MG,NIACIN,4
TABLET;ORAL,500MG,PROBENECID,4
TABLET;ORAL,500MG,SULFADIAZINE,4
TABLET;ORAL,500MG,TINIDAZOLE,4
TABLET;ORAL,500MG,URSODIOL,4
TABLET;ORAL,500MG;7.5MG,"OXYCODONE AND ACETAMINOPHEN",4
TABLET;ORAL,50MG,"CHLORPROMAZINE HYDROCHLORIDE",4
TABLET;ORAL,50MG,CLOZAPINE,4
TABLET;ORAL,50MG;15MG,"CAPTOPRIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,50MG;25MG,"CAPTOPRIL AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,50MG;500MG,"METHYLDOPA AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,5MG,"DEXMETHYLPHENIDATE HYDROCHLORIDE",4
TABLET;ORAL,5MG,HYDROCORTISONE,4
TABLET;ORAL,5MG,"METHAMPHETAMINE HYDROCHLORIDE",4
TABLET;ORAL,5MG,METHYCLOTHIAZIDE,4
TABLET;ORAL,5MG,"MIDODRINE HYDROCHLORIDE",4
TABLET;ORAL,5MG,"NORETHINDRONE ACETATE",4
TABLET;ORAL,5MG,"PILOCARPINE HYDROCHLORIDE",4
TABLET;ORAL,5MG;12.5MG;160MG,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,5MG;200MG,"HYDROCODONE BITARTRATE AND IBUPROFEN",4
TABLET;ORAL,5MG;25MG;160MG,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",4
TABLET;ORAL,60MG,"FEXOFENADINE HYDROCHLORIDE",4
TABLET;ORAL,60MG,"PYRIDOSTIGMINE BROMIDE",4
TABLET;ORAL,650MG,"TRANEXAMIC ACID",4
TABLET;ORAL,650MG;10MG,"OXYCODONE AND ACETAMINOPHEN",4
TABLET;ORAL,650MG;65MG,"PROPOXYPHENE HYDROCHLORIDE AND ACETAMINOPHEN",4
TABLET;ORAL,7.5MG,"MOEXIPRIL HYDROCHLORIDE",4
TABLET;ORAL,800MG;160MG,"SULFAMETHOXAZOLE AND TRIMETHOPRIM DOUBLE STRENGTH",4
TABLET;ORAL,8MG,PERPHENAZINE,4
TABLET;ORAL,"EQ 0.005MG BASE","LIOTHYRONINE SODIUM",4
TABLET;ORAL,"EQ 100MG BASE","CEFPODOXIME PROXETIL",4
TABLET;ORAL,"EQ 10MG BASE","NEBIVOLOL HYDROCHLORIDE",4
TABLET;ORAL,"EQ 10MG BASE","TERAZOSIN HYDROCHLORIDE",4
TABLET;ORAL,"EQ 12.5MG BASE;5MG","CHLORDIAZEPOXIDE AND AMITRIPTYLINE HYDROCHLORIDE",4
TABLET;ORAL,"EQ 150MG BASE",DOXYCYCLINE,4
TABLET;ORAL,"EQ 169MG CALCIUM","CALCIUM ACETATE",4
TABLET;ORAL,"EQ 1GM BASE",CEFADROXIL,4
INJECTABLE;INJECTION,10MG/VIAL,"DOXORUBICIN HYDROCHLORIDE",4
INJECTABLE;INJECTION,"10USP UNITS/ML (10USP UNITS/ML)",OXYTOCIN,4
INJECTABLE;INJECTION,12.5GM/50ML,"MANNITOL 25%",4
INJECTABLE;INJECTION,1MG/0.2ML,"LEUPROLIDE ACETATE",4
INJECTABLE;INJECTION,1MG/ML,"BENZTROPINE MESYLATE",4
INJECTABLE;INJECTION,1MG/ML,"NALOXONE HYDROCHLORIDE",4
INJECTABLE;INJECTION,2.5GM/100ML;450MG/100ML,"DEXTROSE 2.5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,200MG/ML,"TESTOSTERONE ENANTHATE",4
INJECTABLE;INJECTION,200MG/VIAL,DACARBAZINE,4
INJECTABLE;INJECTION,20MG/100ML;30MG/100ML;600MG/100ML;310MG/100ML,"LACTATED RINGER'S IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,20MG/ML,"NALBUPHINE HYDROCHLORIDE",4
INJECTABLE;INJECTION,20MG/VIAL,MITOMYCIN,4
INJECTABLE;INJECTION,2GM/VIAL,"DEFEROXAMINE MESYLATE",4
INJECTABLE;INJECTION,2MG/ML,"PANCURONIUM BROMIDE",4
INJECTABLE;INJECTION,33MG/100ML;30MG/100ML;860MG/100ML,"RINGER'S IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"400MG/200ML (2MG/ML)","FLUCONAZOLE IN SODIUM CHLORIDE 0.9%",4
INJECTABLE;INJECTION,"4MCG/2ML (2MCG/ML)",DOXERCALCIFEROL,4
INJECTABLE;INJECTION,"5,000 UNITS/100ML","HEPARIN SODIUM 25,000 UNITS IN DEXTROSE 5% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"5,000,000 UNITS/VIAL","PENICILLIN G POTASSIUM",4
INJECTABLE;INJECTION,"50,000 UNITS/VIAL",BACITRACIN,4
INJECTABLE;INJECTION,500MG/VIAL,"DEFEROXAMINE MESYLATE",4
INJECTABLE;INJECTION,50GM/100ML,"DEXTROSE 50% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,50MG/ML,DIMENHYDRINATE,4
INJECTABLE;INJECTION,50MG/ML,FLUOROURACIL,4
INJECTABLE;INJECTION,50MG/ML,"MEPERIDINE HYDROCHLORIDE",4
INJECTABLE;INJECTION,50MG/ML,PROGESTERONE,4
INJECTABLE;INJECTION,50MG/VIAL,"DOXORUBICIN HYDROCHLORIDE",4
INJECTABLE;INJECTION,51%,IOPAMIDOL-250,4
INJECTABLE;INJECTION,60GM/100ML,"DEXTROSE 60% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,61%,IOPAMIDOL-300,4
INJECTABLE;INJECTION,70GM/100ML,"DEXTROSE 70% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,76%,IOPAMIDOL-370,4
INJECTABLE;INJECTION,80MG/ML;16MG/ML,"SULFAMETHOXAZOLE AND TRIMETHOPRIM",4
INJECTABLE;INJECTION,"EQ 0.05MG BASE/ML","OCTREOTIDE ACETATE (PRESERVATIVE FREE)",4
INJECTABLE;INJECTION,"EQ 0.1MG BASE/ML","OCTREOTIDE ACETATE (PRESERVATIVE FREE)",4
INJECTABLE;INJECTION,"EQ 0.3MG BASE/ML","BUPRENORPHINE HYDROCHLORIDE",4
INJECTABLE;INJECTION,"EQ 0.5MG BASE/ML","OCTREOTIDE ACETATE (PRESERVATIVE FREE)",4
INJECTABLE;INJECTION,"EQ 1.2MG BASE/ML","GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"EQ 1.6MG BASE/ML","GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"EQ 100MG BASE/100ML","GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"EQ 100MG BASE/VIAL","LEUCOVORIN CALCIUM",4
INJECTABLE;INJECTION,"EQ 10GM BASE/VIAL","OXACILLIN SODIUM",4
INJECTABLE;INJECTION,"EQ 10MG BASE/ML","FENOLDOPAM MESYLATE",4
INJECTABLE;INJECTION,"EQ 125MG BASE/VIAL",A-METHAPRED,4
INJECTABLE;INJECTION,"EQ 1MG BASE/ML","NOREPINEPHRINE BITARTRATE",4
INJECTABLE;INJECTION,"EQ 250MG BASE/10ML (EQ 25MG BASE/ML)","METHOTREXATE SODIUM PRESERVATIVE FREE",4
INJECTABLE;INJECTION,"EQ 2GM BASE/VIAL",CEFTRIAXONE,4
INJECTABLE;INJECTION,"EQ 2MG BASE/ML","GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"EQ 40MG BASE/VIAL",A-METHAPRED,4
INJECTABLE;INJECTION,"EQ 500MG BASE/VIAL","CEFOTAXIME SODIUM",4
INJECTABLE;INJECTION,"EQ 500MG BASE/VIAL","CHLOROTHIAZIDE SODIUM",4
INJECTABLE;INJECTION,"EQ 50MG BASE/ML","ACYCLOVIR SODIUM",4
INJECTABLE;INJECTION,"EQ 50MG BASE/VIAL","LEUCOVORIN CALCIUM",4
INJECTABLE;INJECTION,"EQ 50MG BASE/VIAL","MELPHALAN HYDROCHLORIDE",4
INJECTABLE;INJECTION,"EQ 60MG BASE/100ML","GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",4
INJECTABLE;INJECTION,"EQ 80MG BASE/100ML","GENTAMICIN SULFATE IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",4
INJECTABLE;INTRAVENOUS,20-200mCi/ML,"FLUDEOXYGLUCOSE F18",4
INJECTABLE;INTRAVENOUS,"6GM/30ML (200MG/ML)",ACETYLCYSTEINE,4
INJECTABLE;INJECTION,150MG/ML,"MEDROXYPROGESTERONE ACETATE",3
INJECTABLE;INJECTION,15MG/VIAL,THIOTEPA,3
INJECTABLE;INJECTION,1GM/100ML,"MAGNESIUM SULFATE IN DEXTROSE 5% IN PLASTIC CONTAINER",3
INJECTABLE;INJECTION,"1GM/20ML (50MG/ML)",FLUOROURACIL,3
INJECTABLE;INJECTION,"1GM/20ML (50MG/ML)",IFOSFAMIDE,3
INJECTABLE;INJECTION,1GM/VIAL,CEFTAZIDIME,3
INJECTABLE;INJECTION,1GM/VIAL,CYCLOPHOSPHAMIDE,3
INJECTABLE;INJECTION,1MEQ/ML,"POTASSIUM CHLORIDE",3
INJECTABLE;INJECTION,1MG/ML,"BUTORPHANOL TARTRATE",3
INJECTABLE;INJECTION,1MG/ML,CLADRIBINE,3
INJECTABLE;INJECTION,1MG/ML,"PANCURONIUM BROMIDE",3
INJECTABLE;INJECTION,"2,500 UNITS/ML","HEPARIN SODIUM",3
INJECTABLE;INJECTION,"200 UNITS/100ML","HEPARIN SODIUM 1,000 UNITS IN SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",3
INJECTABLE;INJECTION,200MG/100ML,"LIDOCAINE HYDROCHLORIDE 0.2% AND DEXTROSE 5% IN PLASTIC CONTAINER",3
INJECTABLE;INJECTION,"200MG/100ML (2MG/ML)","FLUCONAZOLE IN DEXTROSE 5% IN PLASTIC CONTAINER",3
INJECTABLE;INJECTION,200MG/ML,LEVOCARNITINE,3
INJECTABLE;INJECTION,20GM/100ML,"MANNITOL 20%",3
INJECTABLE;INJECTION,"20MG/2ML (10MG/ML)",DOCETAXEL,3
INJECTABLE;INJECTION,20MG/ML,"ESTRADIOL VALERATE",3
INJECTABLE;INJECTION,20MG/VIAL,"DOXORUBICIN HYDROCHLORIDE",3
INJECTABLE;INJECTION,250MG/ML,"AMINOCAPROIC ACID",3
INJECTABLE;INJECTION,25MG/ML,"MEPERIDINE HYDROCHLORIDE",3
INJECTABLE;INJECTION,300MG/VIAL,"PENTAMIDINE ISETHIONATE",3
INJECTABLE;INJECTION,33MG/100ML;5GM/100ML;30MG/100ML;860MG/100ML,"DEXTROSE 5% IN RINGER'S IN PLASTIC CONTAINER",3
INJECTABLE;INJECTION,"3GM/60ML (50MG/ML)",IFOSFAMIDE,3
INJECTABLE;INJECTION,3MEQ/ML,"POTASSIUM CHLORIDE",3
INJECTABLE;INJECTION,4%,"LIDOCAINE HYDROCHLORIDE PRESERVATIVE FREE",3
