ApprovalYear,SponsorApplicant,TotalApprovals
1987,"OLTA PHARMS",2
1987,"ORTHO MCNEIL",2
1987,"PAR PHARM INC",2
1987,"PARKE DAVIS",2
1987,PHARMALUCENCE,2
1987,"PRECISION DERMAT",2
1987,"PROMIUS PHARMA",2
1987,"PURACAP PHARM",2
1987,"RECORDATI RARE",2
1987,"SALIX PHARMS",2
1987,SHIRE,2
1987,"SUN PHARM INDS LTD",2
1987,"TEVA PARENTERAL",2
1987,"TRIAX PHARMS",2
1987,"VALEANT PHARMS NORTH",2
1987,"VALIDUS PHARMS INC",2
1987,"WESTWOOD SQUIBB",2
1987,"WHITEWORTH TOWN PLSN",2
1987,"ABBVIE ENDOCRINE INC",1
1987,ADAPT,1
1987,"ALCON LABS INC",1
1987,"ALCON PHARMS LTD",1
1987,"ALLERGAN HERBERT",1
1987,ALZA,1
1987,"AMARIN PHARMS",1
1987,"AMEDRA PHARMS",1
1987,"AMPHASTAR PHARMS INC",1
1987,APOTEX,1
1987,"APTALIS PHARMA US",1
1987,"ARBOR PHARMS LLC",1
1987,"ASPEN GLOBAL",1
1987,"ATON PHARMA VPNA",1
1987,BAYER,1
1987,"BECTON DICKINSON",1
1987,BIOGLAN,1
1987,BRISTOL,1
1987,CARACO,1
1987,"CAROLINA MEDCL",1
1987,"CASPER PHARMA LLC",1
1987,"CHART MEDCL",1
1987,CHATTEM,1
1987,"CHESEBROUGH PONDS",1
1987,"CNTY LINE PHARMS",1
1987,COREPHARMA,1
1987,COVIDIEN,1
1987,"CUTIS HEALTH LLC",1
1987,DRAXIMAGE,1
1987,"DURAMED RES",1
1987,"EASTMAN KODAK",1
1987,ECOLAB,1
1987,"EDISON THERAPS LLC",1
1987,"ELI LILLY AND CO",1
1987,ELORAC,1
1987,"EMCURE PHARMS LTD",1
1987,"EMD SERONO",1
1987,ESI,1
1987,"FOREST LABS",1
1987,"FUTURE PAK",1
1987,"GEMINI LABS LLC",1
1987,"GLAXO GRP LTD",1
1987,"GLAXOSMITHKLINE LLC",1
1987,"GUARDIAN DRUG",1
1987,"HI TECH PHARMA",1
1987,"HIKMA (MAPLE)",1
1987,HLR,1
1987,"HORIZON PHARMA",1
1987,"HQ SPCLT PHARMA",1
1987,IMP,1
1987,"INDIVIOR INC",1
1987,"ISO TEX",1
1987,"ISTITUTO BIO ITA SPA",1
1987,"IVAX PHARMS",1
1987,"IVAX RES",1
1987,"JANSSEN PHARMA",1
1987,"JANSSEN R AND D",1
1987,"JDS PHARMS",1
1987,"JOHNSON AND JOHNSON",1
1987,"LABORATOIRE HRA",1
1987,LEINER,1
1987,"LUNDBECK INC",1
1987,LYNE,1
1987,"MALLINKRODT NUCLEAR",1
1987,"MAYER LABS INC",1
1987,"MAYNE PHARMA INC",1
1987,"MCNEIL CONS",1
1987,"MCNEIL CONSUMER",1
1987,"MEDPOINTE PHARM HLC",1
1987,MERICON,1
1987,"MERIDIAN MEDCL TECHN",1
1987,"MERRO PHARM",1
1987,"MGI PHARMA INC",1
1987,"NEW RIVER",1
1987,"OAK PHARMS",1
1987,"OAK PHARMS AKORN",1
1987,OHM,1
1987,"PADDOCK LLC",1
1987,PARKEDALE,1
1987,PARNELL,1
1987,"PFIZER PHARMS",1
1987,"PHARM ASSOC",1
1987,PHARMICS,1
1987,"PRAGMA PHARMS LLC",1
1987,"PRECISION DOSE",1
1987,"PURDUE PHARMA LP",1
1987,"PUREPAC PHARM",1
1987,"RANBAXY LABS LTD",1
1987,"REMPEX PHARMS INC",1
1987,"RHODES PHARMS",1
1987,"ROCHE PALO",1
1987,"SANDOZ INC",1
1987,"SCHERER RP",1
1987,SERONO,1
1987,"SIGMA TAU",1
1987,SOAPCO,1
1987,"STASON PHARMS",1
1987,"SUN PHARM INDS (IN)",1
1987,"SUN PHARM INDS INC",1
1987,"TAP PHARM",1
1987,"TARO PHARMS NORTH",1
1987,"TERSERA THERAP",1
1987,"THEPHARMANETWORK LLC",1
1987,"TURING PHARMS AG",1
1987,"UPSHER-SMITH LABS",1
1987,"US PHARMS HOLDINGS I",1
1987,"US WORLDMEDS LLC",1
1987,"VIIV HLTHCARE",1
1987,"WOCKHARDT EU OPERATN",1
1987,"WYETH PHARMS",1
1987,XSPIRE,1
1987,XTTRIUM,1
1988,"WATSON LABS",225
1988,SANDOZ,137
1988,HOSPIRA,112
1988,"PAR PHARM",70
1988,ROXANE,49
1988,"EUROHLTH INTL SARL",47
1988,"SUN PHARM INDS",45
1988,TEVA,42
1988,MYLAN,39
1988,"MUTUAL PHARM",37
1988,"TG UNITED LABS",31
1988,"B BRAUN",27
1988,"SANOFI AVENTIS US",27
1988,"FRESENIUS KABI USA",26
1988,LILLY,26
1988,NOVARTIS,25
1988,"BAXTER HLTHCARE",24
1988,TARO,24
1988,"AUROLIFE PHARMA LLC",23
1988,"IVAX SUB TEVA PHARMS",23
1988,MERCK,23
1988,PLIVA,23
1988,"ACTAVIS ELIZABETH",21
1988,LANNETT,20
1988,"ANI PHARMS INC",19
1988,WOCKHARDT,19
1988,"WYETH AYERST",19
1988,"DAVA PHARMS INC",17
1988,"GE HEALTHCARE",17
1988,"PHARMACIA AND UPJOHN",17
1988,"USL PHARMA",17
1988,"VINTAGE PHARMS",16
1988,"ACTAVIS MID ATLANTIC",15
1988,BARR,15
1988,"FRONTIDA BIOPHARM",15
1988,SCHERING,15
1988,"WATSON LABS INC",14
1988,ALCON,13
1988,GLAXOSMITHKLINE,13
1988,"HIKMA INTL PHARMS",13
1988,ALLERGAN,12
1988,LUITPOLD,12
1988,"G AND W LABS INC",11
1988,"GD SEARLE LLC",11
1988,PFIZER,11
1988,"WYETH PHARMS INC",11
1988,ALRA,10
1988,APOTHECON,10
1988,FOUGERA,10
1988,"JANSSEN PHARMS",10
1988,"SAVAGE LABS",10
1988,MALLINCKRODT,9
1988,ABBVIE,8
1988,"DELCOR ASSET CORP",8
1988,"ABC HOLDING",7
1988,"ALCON PHARMS LTD",7
1988,BRACCO,7
1988,"G AND W LABS",7
1988,"HIKMA PHARMS LLC",7
1988,"IDT AUSTRALIA LTD",7
1988,MIKART,7
1988,"VALEANT PHARM INTL",7
1988,"BOEHRINGER INGELHEIM",6
1988,"BRISTOL MYERS",6
1988,"ELKINS SINN",6
1988,"HERITAGE PHARMS INC",6
1988,"IGI LABS INC",6
1988,"IMPAX LABS",6
1988,"IMPAX LABS INC",6
1988,"MYLAN PHARMS INC",6
1988,"ORGANON USA INC",6
1988,"PERRIGO NEW YORK",6
1988,"TARO PHARMS NORTH",6
1988,"US PHARM HOLDINGS",6
1988,AKORN,5
1988,"ALLERGAN SALES LLC",5
1988,"AMNEAL PHARMS NY",5
1988,"ANI PHARMS",5
1988,APIL,5
1988,ATON,5
1988,BASF,5
1988,"BAYER HLTHCARE",5
1988,"BRISTOL MYERS SQUIBB",5
1988,"CASPER PHARMA LLC",5
1988,"CONCORDIA PHARMS INC",5
1988,"CONTRACT PHARMACAL",5
1988,"HOSPIRA INC",5
1988,"INTL MEDICATION",5
1988,"MALLINKRODT NUCLEAR",5
1988,"MAYNE PHARMA",5
1988,"ORTHO MCNEIL JANSSEN",5
1988,PARKEDALE,5
1988,"TEVA PHARMS",5
1988,"UCB INC",5
1988,"VALEANT PHARMS NORTH",5
1988,ABBOTT,4
1988,"ALVOGEN MALTA",4
1988,ASTRAZENECA,4
1988,"AUXILIUM PHARMS LLC",4
1988,"CYCLE PHARMS LTD",4
1988,DEPROCO,4
1988,"FOUGERA PHARMS",4
1988,"KING PHARMS",4
1988,LEDERLE,4
1988,"MERCK SHARP DOHME",4
1988,"MONARCH PHARMS",4
1988,"ORTHO MCNEIL PHARM",4
1988,"PHARM ASSOC",4
1988,"TEVA BRANDED PHARM",4
1988,"TEVA PHARMS USA",4
1988,VALEANT,4
1988,VANGARD,4
1988,VINTAGE,4
1988,"WYETH PHARMS",4
1988,XTTRIUM,4
1988,ABLE,3
1988,"ACCORD HLTHCARE",3
1988,"ACTAVIS LABS FL INC",3
1988,"ACTAVIS LABS UT INC",3
1988,"ACTAVIS TOTOWA",3
1988,"ALPHARMA US PHARMS",3
1988,"BAYER PHARMS",3
1988,"BI-COASTAL PHARMA",3
1988,CAMALL,3
1988,"DR REDDYS LABS INC",3
1988,"DURAMED PHARMS BARR",3
1988,"GALDERMA LABS LP",3
1988,"GRAHAM CHEM",3
1988,"HOFFMANN LA ROCHE",3
1988,"IROKO PHARMS",3
1988,"IVAX PHARMS",3
1988,"J AND J CONSUMER INC",3
1988,"LANNETT HOLDINGS INC",3
1988,MCNEIL,3
1988,"MEDA PHARMS",3
1988,MEDICIS,3
1988,"MISSION PHARMA",3
1988,"MOLNLYCKE HLTH",3
1988,"NOSTRUM LABS INC",3
1988,"OHM LABS",3
1988,"PAR STERILE PRODUCTS",3
1988,"PARKE DAVIS",3
1988,"PURACAP PHARM",3
1988,RANBAXY,3
1988,"RECORDATI RARE",3
1988,"ROBINS AH",3
1988,"SEBELA IRELAND LTD",3
1988,"SIGMA TAU",3
1988,"WARNER CHILCOTT",3
1988,"XANODYNE PHARM",3
1988,"ALPHA THERA",2
1988,ALVOGEN,2
1988,"APOTEX INC",2
1988,"ARBOR PHARMS LLC",2
1988,"BAXTER HLTHCARE CORP",2
1988,"BAYER HEALTHCARE LLC",2
1988,"BECTON DICKINSON",2
1988,BEDFORD,2
1988,"COPLEY PHARM",2
1988,"CORDEN PHARMA",2
1988,DEY,2
1988,DISTA,2
1988,"DR REDDYS LA",2
1988,"ENDO PHARMS",2
1988,"FACTA FARMA",2
1988,FERRING,2
1988,"FERRING PHARMS INC",2
1988,"FOREST LABS INC",2
1988,FRESENIUS,2
1988,"FRESENIUS MEDCL",2
1988,"GLAXO GRP LTD",2
1988,"HI TECH PHARMA",2
1988,JACOBUS,2
1988,"KV PHARM",2
1988,LIEBEL-FLARSHEIM,2
1988,"MIZA PHARMS USA",2
1988,"MYLAN INSTITUTIONAL",2
1988,NEPHRON,2
1988,"NESHER PHARMS",2
1988,"NEW RIVER",2
1988,"NOVEL LABS INC",2
1988,"ODYSSEY PHARMS",2
1988,"ORTHO MCNEIL",2
1988,"PADDOCK LLC",2
1988,"PAR PHARM INC",2
1988,"PERRIGO CO TENNESSEE",2
1988,PHARMAFAIR,2
1988,"PRAGMA PHARMS LLC",2
1988,"PRINSTON INC",2
1988,"PROMIUS PHARMA",2
1988,"QUANTUM PHARMICS",2
1988,ROCHE,2
1988,SERONO,2
1988,SHIRE,2
1988,"STEVENS J",2
1988,"STI PHARMA LLC",2
1988,"TEVA WOMENS",2
1988,"US PHARMS HOLDINGS I",2
1988,"VALEANT INTL",2
1988,"VALEANT PHARMS",2
1988,"VIVIMED LABS",2
1988,"WYETH CONS",2
1988,3M,1
1988,"ABBVIE ENDOCRINE INC",1
1988,"ABRAXIS PHARM",1
1988,"ACS DOBFAR",1
1988,"ACTIENT PHARMS",1
1988,"AKORN INC",1
1988,"ALCON LABS INC",1
1988,"ALLERGAN HERBERT",1
1988,"ALVOGEN INC",1
1988,ALZA,1
1988,"AMPHASTAR PHARMS INC",1
1988,APOTEX,1
1988,"ARBOR PHARMS INC",1
1988,"ASPEN GLOBAL INC",1
1988,ASTELLAS,1
1988,"ATNAHS PHARMA US",1
1988,"ATON PHARMA VPNA",1
1988,"BAUSCH AND LOMB",1
1988,"BELCHER PHARMS",1
1988,BIOVAIL,1
1988,"BIOVAIL LABS INTL",1
1988,BRISTOL,1
1988,CARACO,1
1988,"CARDINAL HEALTH 418",1
1988,CAREFUSION,1
1988,"CENT PHARMS",1
1988,"CHART MEDCL",1
1988,"CHARTWELL CIENCA",1
1988,CHATTEM,1
1988,"CHESEBROUGH PONDS",1
1988,"CHIESI USA INC",1
1988,"CNTY LINE PHARMS",1
1988,"DENTSPLY PHARM",1
1988,"DOW PHARM",1
1988,"DURAMED RES",1
1988,"ELI LILLY AND CO",1
1988,"EMCURE PHARMS LTD",1
1988,"EMD SERONO",1
1988,ETHITEK,1
1988,"EXELA PHARMA SCS LLC",1
1988,"FERNDALE LABS",1
1988,"FOREST LABS",1
1988,GENENTECH,1
1988,"GLAXOSMITHKLINE CON",1
1988,"GLAXOSMITHKLINE LLC",1
1988,GUERBET,1
1988,HALOCARBON,1
1988,"HIKMA (MAPLE)",1
1988,"HILL DERMAC",1
1988,HLR,1
1988,"HQ SPCLT PHARMA",1
1988,IMP,1
1988,"INSIGHT PHARMS",1
1988,"IROKO PHARMS LLC",1
1988,"JANSSEN PHARMA",1
1988,"JANSSEN RES AND DEV",1
1988,"JOHNSON AND JOHNSON",1
1988,"JUBILANT CADISTA",1
1988,"JUBILANT DRAXIMAGE",1
1988,"KING PFIZER",1
1988,"LABORATOIRE HRA",1
1988,LOCH,1
1988,"LUNDBECK INC",1
1988,"MALLINCKRODT LLC",1
1988,"MATRIX MEDCL",1
1988,"MAYER LABS INC",1
1988,"MAYNE PHARMA INC",1
1988,"MCNEIL CONSUMER",1
1988,"MEDIMETRIKS PHARMS",1
1988,"MEDPOINTE PHARM HLC",1
1988,"MEDTECH PRODUCTS",1
1988,"MERIDIAN MEDCL TECHN",1
1988,"MERRO PHARM",1
1988,"MERZ PHARMS",1
1988,METHAPHARM,1
1988,MILEX,1
1988,"MT ADAMS",1
1988,"MYLAN SPECLT",1
1988,NORBROOK,1
1988,"OAK PHARMS AKORN",1
1988,OHM,1
1988,"OLTA PHARMS",1
1988,"ORGANICS LAGRANGE",1
1988,"OXFORD PHARMS",1
1988,PELAGIUS,1
1988,"PERSONAL PRODS",1
1988,"PFIZER PHARMS",1
1988,"PHARM RES ASSOC",1
1988,"PHARMACHEMIE USA",1
1988,PHARMALUCENCE,1
1988,"POHL BOSKAMP",1
1988,"PRECISION DOSE",1
1988,"PROCTER AND GAMBLE",1
1988,"PROMIUS PHARMA LLC",1
1988,"PURDUE PHARMA LP",1
1988,"QOL MEDCL",1
1988,"R AND S PHARMA",1
1988,"RANBAXY LABS LTD",1
1988,"REMPEX PHARMS INC",1
1988,"SALIX PHARMS",1
1988,"SCHWARZ PHARMA",1
1988,"SETON PHARM",1
1988,"SHIRE LLC",1
1988,"SHIRE RICHWOOD",1
1988,"SMITHKLINE BEECHAM",1
1988,SOAPCO,1
1988,SOLVAY,1
1988,"SPECTRUM PHARMS",1
1988,"STAR PHARMS FL",1
1988,STERLING,1
1988,STORZ,1
1988,"SUN PHARM INDS LTD",1
1988,"TAP PHARM",1
1988,TARGACEPT,1
1988,"TERSERA THERAP",1
1988,"TEVA PARENTERAL",1
1988,"TURING PHARMS AG",1
1988,"UPSHER-SMITH LABS",1
1988,"UT SW MEDCTR",1
1988,"VALEANT BERMUDA",1
1988,"VALEANT LUXEMBOURG",1
1988,"VALEANT PHARMS INC",1
1988,"VALIDUS PHARMS",1
1988,"VALIDUS PHARMS INC",1
1988,"VIIV HLTHCARE",1
1988,"VINTAGE PHARMS LLC",1
1988,"WARNER CHILCOTT LLC",1
1988,"WEST WARD",1
1988,"WESTWOOD SQUIBB",1
1989,"WATSON LABS",167
1989,SANDOZ,129
1989,HOSPIRA,126
1989,"BAXTER HLTHCARE",77
1989,"PAR PHARM",48
1989,MYLAN,41
1989,"SUN PHARM INDS",41
1989,TEVA,41
1989,"EUROHLTH INTL SARL",35
1989,ROXANE,33
1989,TARO,32
1989,"DAVA PHARMS INC",29
1989,NOVARTIS,29
1989,"SANOFI AVENTIS US",28
1989,"MUTUAL PHARM",27
1989,SCHERING,27
1989,WOCKHARDT,27
1989,MERCK,26
1989,LILLY,25
1989,ALCON,24
1989,"TG UNITED LABS",24
1989,BARR,23
1989,"ACTAVIS MID ATLANTIC",22
1989,PFIZER,21
1989,"ACTAVIS ELIZABETH",20
1989,GLAXOSMITHKLINE,20
1989,ALLERGAN,19
1989,"B BRAUN",18
1989,"FRESENIUS KABI USA",18
1989,"PHARMACIA AND UPJOHN",18
1989,"IVAX SUB TEVA PHARMS",17
1989,"AUROLIFE PHARMA LLC",16
1989,"FRONTIDA BIOPHARM",15
1989,"G AND W LABS INC",15
1989,"WYETH AYERST",15
1989,"GE HEALTHCARE",14
1989,PLIVA,14
1989,"USL PHARMA",14
1989,"VINTAGE PHARMS",14
1989,"ANI PHARMS INC",13
1989,"HIKMA INTL PHARMS",13
1989,LUITPOLD,13
1989,ASTELLAS,12
1989,MIKART,12
1989,VINTAGE,12
1989,"JANSSEN PHARMS",11
1989,MALLINCKRODT,11
1989,ABBVIE,10
1989,APOTHECON,10
1989,"IDT AUSTRALIA LTD",10
1989,"IMPAX LABS",10
1989,"WYETH PHARMS INC",10
1989,"ALPHARMA US PHARMS",9
1989,"BRISTOL MYERS SQUIBB",9
1989,RANBAXY,9
1989,"MYLAN PHARMS INC",8
1989,"VALEANT PHARM INTL",8
1989,"ALCON PHARMS LTD",7
1989,"CONTRACT PHARMACAL",7
1989,"GD SEARLE LLC",7
1989,"HIKMA PHARMS LLC",7
1989,"MEDA PHARMS",7
1989,"SCHERING PLOUGH",7
1989,"UCB INC",7
1989,"WATSON LABS INC",7
1989,"ALLERGAN SALES LLC",6
1989,"ALVOGEN MALTA",6
1989,ASTRAZENECA,6
1989,"BAYER HLTHCARE",6
1989,"CNTY LINE PHARMS",6
1989,"ELKINS SINN",6
1989,"INWOOD LABS",6
1989,"KING PHARMS",6
1989,"MEDIMETRIKS PHARMS",6
1989,"NOSTRUM LABS INC",6
1989,"ORTHO MCNEIL PHARM",6
1989,"PERRIGO CO TENNESSEE",6
1989,PHARMALUCENCE,6
1989,"US PHARM HOLDINGS",6
1989,"ANI PHARMS",5
1989,APIL,5
1989,"BOEHRINGER INGELHEIM",5
1989,"FOUGERA PHARMS",5
1989,"HERITAGE PHARMS INC",5
1989,"IGI LABS INC",5
1989,LIEBEL-FLARSHEIM,5
1989,"MALLINKRODT NUCLEAR",5
1989,"MONARCH PHARMS",5
1989,"ROBINS AH",5
1989,"SHIRE RICHWOOD",5
1989,"TEVA BRANDED PHARM",5
1989,VALEANT,5
1989,"VALEANT INTL",5
1989,"ABC HOLDING",4
1989,"ABRAXIS PHARM",4
1989,"ACTAVIS TOTOWA",4
1989,AKORN,4
1989,"ARBOR PHARMS LLC",4
1989,"AUXILIUM PHARMS LLC",4
1989,BASF,4
1989,BRACCO,4
1989,"DR REDDYS LABS INC",4
1989,FOUGERA,4
1989,"MAYNE PHARMA",4
1989,"MERCK SHARP DOHME",4
1989,"NOVEL LABS INC",4
1989,"ORTHO MCNEIL JANSSEN",4
1989,"PAR STERILE PRODUCTS",4
1989,PERRIGO,4
1989,ROCHE,4
1989,"SEBELA IRELAND LTD",4
1989,"STI PHARMA LLC",4
1989,"VALEANT PHARMS NORTH",4
1989,"WARNER CHILCOTT",4
1989,3M,3
1989,ABBOTT,3
1989,"ACCORD HLTHCARE",3
1989,ATON,3
1989,"BAYER PHARMS",3
1989,"BRISTOL MYERS",3
1989,"COPLEY PHARM",3
1989,COREPHARMA,3
1989,"DELCOR ASSET CORP",3
1989,"ENDO PHARMS",3
1989,"GALDERMA LABS LP",3
1989,"GRAHAM CHEM",3
1989,"IROKO PHARMS",3
1989,"IVAX PHARMS",3
1989,"J AND J CONSUMER INC",3
1989,LANNETT,3
1989,LEDERLE,3
1989,"MALLINCKRODT INC",3
1989,"MOLNLYCKE HLTH",3
1989,"MYLAN SPECLT",3
1989,"NOVO NORDISK INC",3
1989,"OHM LABS",3
1989,"ORGANON USA INC",3
1989,"QUANTUM PHARMICS",3
1989,"ROCHE PALO",3
1989,"TEVA WOMENS",3
1989,"XANODYNE PHARM",3
1989,"ACTAVIS LABS UT INC",2
1989,"ALCON LABS INC",2
1989,"ALPHA THERA",2
1989,"AMNEAL PHARMS NY",2
1989,"APOTEX INC",2
1989,"BAYER HEALTHCARE LLC",2
1989,BEDFORD,2
1989,"BI-COASTAL PHARMA",2
1989,BIOVAIL,2
1989,CAMALL,2
1989,"CAROLINA MEDCL",2
1989,"CLONMEL HLTHCARE",2
1989,"CORDEN PHARMA",2
1989,"CYCLE PHARMS LTD",2
1989,DEY,2
1989,DRAXIMAGE,2
1989,"DURAMED PHARMS BARR",2
1989,"FACTA FARMA",2
1989,FERRING,2
1989,"FOREST LABS",2
1989,"FOREST LABS INC",2
1989,FRESENIUS,2
1989,"FRESENIUS MEDCL",2
1989,"GLAXO GRP LTD",2
1989,"GLAXOSMITHKLINE LLC",2
1989,"GLENMARK GENERICS",2
1989,"HOFFMANN LA ROCHE",2
1989,"HOSPIRA INC",2
1989,"INTL MEDICATION",2
1989,"JOHNSON AND JOHNSON",2
1989,"MALLINCKRODT LLC",2
1989,MCNEIL,2
1989,"MCNEIL CONSUMER",2
1989,"NESHER PHARMS",2
1989,"NEW RIVER",2
1989,"OLTA PHARMS",2
1989,PARKEDALE,2
1989,"PERSONAL PRODS",2
1989,"PROMIUS PHARMA",2
1989,"PURACAP PHARM",2
1989,SHIRE,2
1989,"SIGMA TAU",2
1989,"SPECTRUM PHARMS",2
1989,"STEVENS J",2
1989,"SUN PHARM INDS LTD",2
1989,"TARO PHARMS NORTH",2
1989,"TEVA PARENTERAL",2
1989,"TEVA PHARMS",2
1989,"TRIAX PHARMS",2
1989,"US PHARMS HOLDINGS I",2
1989,"VALEANT BERMUDA",2
1989,"VALEANT PHARMS LLC",2
1989,"VALIDUS PHARMS INC",2
1989,"VIIV HLTHCARE",2
1989,VITARINE,2
1989,"WARNER CHILCOTT LLC",2
1989,"WOCKHARDT EU OPERATN",2
1989,"WYETH CONS",2
1989,"WYETH PHARMS",2
1989,XTTRIUM,2
1989,"AAIPHARMA LLC",1
1989,"ABBVIE ENDOCRINE INC",1
1989,"ACTAVIS LABS FL INC",1
1989,"ACTIENT PHARMS",1
1989,"ALLEGIANCE HLTHCARE",1
1989,ALLERQUEST,1
1989,ALRA,1
1989,ALZA,1
1989,"AMARIN PHARMS",1
1989,AMGEN,1
1989,"AMPHASTAR PHARMS INC",1
1989,"APTALIS PHARMA US",1
1989,"AQUA PHARMS",1
1989,"ARBOR PHARMS INC",1
1989,"ARMSTRONG PHARMS",1
1989,"ASPEN GLOBAL INC",1
1989,"ASTRAZENECA PHARMS",1
1989,"ATNAHS PHARMA US",1
1989,"BAUSCH AND LOMB",1
1989,"BECTON DICKINSON",1
1989,"BELCHER PHARMS",1
1989,"BIONPHARMA INC",1
1989,"BIOVAIL LABS INTL",1
1989,"BOCA PHARMA LLC",1
1989,BRISTOL,1
1989,CARACO,1
1989,"CENT PHARMS",1
1989,"CEPH INTL",1
1989,"CHART MEDCL",1
1989,"CHARTWELL CIENCA",1
1989,CHATTEM,1
1989,"CHESEBROUGH PONDS",1
1989,"CHIESI USA INC",1
1989,CLINIPAD,1
1989,"CONCORDIA PHARMS INC",1
1989,"DAVIS AND GECK",1
1989,"DELCOR ASSET",1
1989,"DENTSPLY PHARM",1
1989,DEPROCO,1
1989,"DR REDDYS LA",1
1989,"EDISON THERAPS LLC",1
1989,"ELI LILLY AND CO",1
1989,"EMCURE PHARMS LTD",1
1989,ESI,1
1989,"FERRING PHARMS INC",1
1989,"FLEMING PHARMS",1
1989,"FRANKLIN PHARMS",1
1989,GENENTECH,1
1989,GRIFFEN,1
1989,GUERBET,1
1989,HALOCARBON,1
1989,"HERITAGE LIFE",1
1989,"HIKMA (MAPLE)",1
1989,"HILL DERMAC",1
1989,HLR,1
1989,"HQ SPCLT PHARMA",1
1989,"INDIVIOR INC",1
1989,"INTERFERON SCIENCES",1
1989,"IROKO PHARMS LLC",1
1989,"ISO TEX",1
1989,"IVAX RES",1
1989,"IVC INDS",1
1989,"JANSSEN R AND D",1
1989,"JUBILANT CADISTA",1
1989,"JUBILANT DRAXIMAGE",1
1989,"KV PHARM",1
1989,"LANTHEUS MEDCL",1
1989,LEINER,1
1989,LOCH,1
1989,"MAYER LABS INC",1
1989,"MAYNE PHARMA INC",1
1989,MEDICIS,1
1989,"MEDPOINTE PHARM HLC",1
1989,MERICON,1
1989,"MERIDIAN MEDCL TECHN",1
1989,"MERRO PHARM",1
1989,"MERZ PHARMS",1
1989,"MISSION PHARMA",1
1989,MURO,1
1989,"MYLAN INSTITUTIONAL",1
1989,"NURO PHARMA",1
1989,"OAK PHARMS",1
1989,"OAK PHARMS AKORN",1
1989,OHM,1
1989,"ORGANICS LAGRANGE",1
1989,"ORTHO MCNEIL",1
1989,"OXFORD PHARMS",1
1989,"PADDOCK LLC",1
1989,"PARKE DAVIS",1
1989,PELAGIUS,1
1989,"PERRIGO NEW YORK",1
1989,"PFIZER PHARMS",1
1989,"PHARM ASSOC",1
1989,"PHARM VENTURES",1
1989,PHARMERAL,1
1989,"POHL BOSKAMP",1
1989,"PRECISION DOSE",1
1989,"PROMIUS PHARMA LLC",1
1989,"PURDUE PHARMA LP",1
1989,"PUREPAC PHARM",1
1989,"RECORDATI RARE",1
1989,"RENAISSANCE PHARMA",1
1989,"RHODES PHARMS",1
1989,"SAVAGE LABS",1
1989,SERONO,1
1989,"SETON PHARM",1
1989,"SHIONOGI INC",1
1989,"SMITHKLINE BEECHAM",1
1989,SOAPCO,1
1989,SOMERSET,1
1989,"STAR PHARMS FL",1
1989,"TERSERA THERAP",1
1989,"TEVA PHARMS USA",1
1989,"THEPHARMANETWORK LLC",1
1989,"UPSHER-SMITH LABS",1
1989,"US ARMY WALTER REED",1
1989,"WEST WARD",1
1989,"WESTWOOD SQUIBB",1
1990,"WATSON LABS",191
1990,HOSPIRA,165
1990,"B BRAUN",68
1990,SANDOZ,63
1990,MYLAN,56
1990,"SUN PHARM INDS",50
1990,"BAXTER HLTHCARE",41
1990,"EUROHLTH INTL SARL",38
1990,ROXANE,35
1990,LILLY,32
1990,"SANOFI AVENTIS US",29
1990,"MUTUAL PHARM",26
1990,NOVARTIS,25
1990,TEVA,23
1990,"PHARMACIA AND UPJOHN",21
1990,PLIVA,19
1990,WOCKHARDT,19
1990,TARO,18
1990,"ACTAVIS MID ATLANTIC",18
1990,"FRESENIUS KABI USA",17
1990,GLAXOSMITHKLINE,17
1990,BARR,16
1990,LANNETT,15
1990,"JANSSEN PHARMS",13
1990,MERCK,13
1990,PFIZER,13
1990,"AUROLIFE PHARMA LLC",12
1990,"FRONTIDA BIOPHARM",12
1990,"DAVA PHARMS INC",11
1990,"GE HEALTHCARE",11
1990,"PAR PHARM",11
1990,"TG UNITED LABS",11
1990,"WYETH AYERST",11
1990,SCHERING,10
1990,"USL PHARMA",10
1990,"WATSON LABS INC",10
1990,"ACTAVIS ELIZABETH",10
1990,ALCON,10
1990,ALLERGAN,10
1990,"ANI PHARMS INC",10
1990,"ALVOGEN MALTA",9
1990,"G AND W LABS INC",9
1990,MALLINCKRODT,9
1990,"WYETH PHARMS INC",9
1990,ABBOTT,8
1990,APOTHECON,8
1990,"GD SEARLE LLC",8
1990,"HIKMA INTL PHARMS",8
1990,"IVAX SUB TEVA PHARMS",8
1990,"MERCK SHARP DOHME",8
1990,RANBAXY,8
1990,"ALLERGAN SALES LLC",7
1990,"ALPHARMA US PHARMS",7
1990,"BRISTOL MYERS SQUIBB",7
1990,"CNTY LINE PHARMS",7
1990,"DELCOR ASSET CORP",7
1990,"MAYNE PHARMA",7
1990,"MEDA PHARMS",7
1990,MIKART,7
1990,"MONARCH PHARMS",7
1990,"MYLAN PHARMS INC",7
1990,"TEVA PHARMS USA",7
1990,"FOUGERA PHARMS",6
1990,"HERITAGE PHARMS INC",6
1990,"HOSPIRA INC",6
1990,ABBVIE,5
1990,"ACTAVIS LABS UT INC",5
1990,AKORN,5
1990,"BAYER HEALTHCARE LLC",5
1990,"BAYER HLTHCARE",5
1990,"IDT AUSTRALIA LTD",5
1990,"INWOOD LABS",5
1990,LIEBEL-FLARSHEIM,5
1990,LUITPOLD,5
