TherapeuticClass,Drugname,TotalApprovals,ApprovalYear
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1983
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1984
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1985
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1986
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER",2,1994
AP,"POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER",2,1996
AP,"POTASSIUM CHLORIDE 20MEQ IN PLASTIC CONTAINER",2,2001
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,2001
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1980
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1981
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1982
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1983
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1984
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1985
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1986
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER",2,1994
AP,"POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER",2,1996
AP,"POTASSIUM CHLORIDE 30MEQ IN PLASTIC CONTAINER",2,2001
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,2001
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1980
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1981
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1982
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1983
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1984
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1985
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1986
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER",2,1994
AP,"POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER",2,1996
AP,"POTASSIUM CHLORIDE 40MEQ IN PLASTIC CONTAINER",2,2001
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,2001
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1980
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1981
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1982
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1983
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1984
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1985
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1986
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2014
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1997
AP,"POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1999
AP,"POTASSIUM CHLORIDE IN PLASTIC CONTAINER",2,1985
AP,"POTASSIUM CHLORIDE IN PLASTIC CONTAINER",2,1987
AP,"POTASSIUM CHLORIDE IN PLASTIC CONTAINER",2,1991
AP,"POTASSIUM CHLORIDE IN PLASTIC CONTAINER",2,1992
AP,"POTASSIUM CHLORIDE IN PLASTIC CONTAINER",2,1994
AP,"POTASSIUM CHLORIDE IN PLASTIC CONTAINER",2,2007
AP,"PROPRANOLOL HYDROCHLORIDE",2,2008
AP,RIFAMPIN,2,2014
AP,RIFAMPIN,2,2016
AP,"RINGER'S IN PLASTIC CONTAINER",2,1980
AP,"RINGER'S IN PLASTIC CONTAINER",2,1981
AP,"RINGER'S IN PLASTIC CONTAINER",2,1982
AP,"RINGER'S IN PLASTIC CONTAINER",2,1983
AP,"RINGER'S IN PLASTIC CONTAINER",2,1984
AP,"RINGER'S IN PLASTIC CONTAINER",2,1985
AP,"RINGER'S IN PLASTIC CONTAINER",2,1986
AP,"RINGER'S IN PLASTIC CONTAINER",2,1987
AP,"RINGER'S IN PLASTIC CONTAINER",2,1989
AP,"RINGER'S IN PLASTIC CONTAINER",2,1991
AP,"RINGER'S IN PLASTIC CONTAINER",2,1992
AP,"RINGER'S IN PLASTIC CONTAINER",2,1997
AP,"RINGER'S IN PLASTIC CONTAINER",2,1998
AP,"RINGER'S IN PLASTIC CONTAINER",2,1999
AP,"RINGER'S IN PLASTIC CONTAINER",2,2000
AP,"RINGER'S IN PLASTIC CONTAINER",2,2002
AP,"RINGER'S IN PLASTIC CONTAINER",2,2014
AP,"ROPIVACAINE HYDROCHLORIDE",2,2016
AP,SENSORCAINE,2,1989
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1979
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1980
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1981
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1982
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1983
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1984
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1985
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1986
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1987
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1995
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,1996
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2000
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2001
AP,"SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER",2,2016
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1975
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1976
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,1977
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,2003
AP,"SODIUM CHLORIDE 0.9% IN PLASTIC CONTAINER",2,2007
AP,"SODIUM PHENYLACETATE AND SODIUM BENZOATE",2,2016
AP,"STERILE WATER FOR INJECTION IN PLASTIC CONTAINER",2,1993
AP,"STERILE WATER FOR INJECTION IN PLASTIC CONTAINER",2,2007
AP,"STERILE WATER FOR INJECTION IN PLASTIC CONTAINER",2,2016
AP,"SUFENTANIL CITRATE",2,1996
AP,"SUFENTANIL CITRATE",2,1998
AP,TAZICEF,2,1996
AP,"TERBUTALINE SULFATE",2,2004
AP,"THALLOUS CHLORIDE TL 201",2,1979
AP,"THALLOUS CHLORIDE TL 201",2,1981
AP,"THALLOUS CHLORIDE TL 201",2,1984
AP,"THALLOUS CHLORIDE TL 201",2,1995
AP,"THALLOUS CHLORIDE TL 201",2,1997
AP,"THALLOUS CHLORIDE TL 201",2,2002
AP,"THALLOUS CHLORIDE TL 201",2,2011
AP,"THALLOUS CHLORIDE TL 201",2,2016
AP,"TOBRAMYCIN SULFATE",2,1994
AP,"TOBRAMYCIN SULFATE",2,2000
AP,"TOBRAMYCIN SULFATE",2,2001
AP,"TOBRAMYCIN SULFATE",2,2012
AP,"TOBRAMYCIN SULFATE",2,2013
AP,"TOPOTECAN HYDROCHLORIDE",2,2014
AP,"TOPOTECAN HYDROCHLORIDE",2,2016
AP,"TRANEXAMIC ACID",2,2014
AP,UNASYN,2,1992
AP,UNASYN,2,1996
AP,UNASYN,2,1997
AP,UNASYN,2,1998
AP,UNASYN,2,2001
AP,UNASYN,2,2002
AP,"VANCOMYCIN HYDROCHLORIDE",2,1990
AP,"VECURONIUM BROMIDE",2,1999
AP,"VECURONIUM BROMIDE",2,2000
AP,"VECURONIUM BROMIDE",2,2010
AP,"VERAPAMIL HYDROCHLORIDE",2,1987
AP,"VERAPAMIL HYDROCHLORIDE",2,1990
AP,"VERAPAMIL HYDROCHLORIDE",2,1991
AP,"VERAPAMIL HYDROCHLORIDE",2,1996
AP,"VINORELBINE TARTRATE",2,2005
AP,"VINORELBINE TARTRATE",2,2012
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1979
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1980
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1981
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1984
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1990
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1993
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,1998
AT,"ACETIC ACID 0.25% IN PLASTIC CONTAINER",2,2014
AT,AKBETA,2,1996
AT,AKBETA,2,1999
AT,"BACITRACIN ZINC AND POLYMYXIN B SULFATE",2,1995
AT,"BACITRACIN ZINC AND POLYMYXIN B SULFATE",2,1996
AT,"BACITRACIN ZINC AND POLYMYXIN B SULFATE",2,2002
AT,BETAGAN,2,1989
AT,BETAGAN,2,1990
AT,BETAGAN,2,1992
AT,BETAGAN,2,1995
AT,BETAGAN,2,1998
AT,BETAGAN,2,2000
AT,BETAGAN,2,2001
AT,BETAGAN,2,2002
AT,"BRIMONIDINE TARTRATE",2,2003
AT,CALCIPOTRIENE,2,2009
AT,"CARTEOLOL HYDROCHLORIDE",2,2000
AT,"CARTEOLOL HYDROCHLORIDE",2,2001
AT,"CHLORHEXIDINE GLUCONATE",2,1995
AT,"CHLORHEXIDINE GLUCONATE",2,1996
AT,"CHLORHEXIDINE GLUCONATE",2,1997
AT,"CHLORHEXIDINE GLUCONATE",2,1998
AT,"CHLORHEXIDINE GLUCONATE",2,2000
AT,"CLINDAMYCIN PHOSPHATE",2,2002
AT,"CLINDAMYCIN PHOSPHATE",2,2010
AT,"CLOBETASOL PROPIONATE",2,1998
AT,"CLOBETASOL PROPIONATE",2,1999
AT,"CLOBETASOL PROPIONATE",2,2000
AT,"CLOBETASOL PROPIONATE",2,2002
AT,CLOTRIMAZOLE,2,1996
AT,CLOTRIMAZOLE,2,1997
AT,CLOTRIMAZOLE,2,2001
AT,CLOTRIMAZOLE,2,2002
AT,CORDRAN,2,1977
AT,CORDRAN,2,1978
AT,CORDRAN,2,1980
AT,CORDRAN,2,1982
AT,CORDRAN,2,1987
AT,CORDRAN,2,1998
AT,CORTISPORIN,2,1975
AT,CORTISPORIN,2,1999
AT,"CROMOLYN SODIUM",2,1999
AT,CYCLOGYL,2,1974
AT,CYCLOGYL,2,1982
AT,CYCLOGYL,2,1983
AT,CYCLOGYL,2,1989
AT,CYCLOGYL,2,1991
AT,CYCLOGYL,2,1992
AT,CYCLOGYL,2,1993
AT,CYCLOGYL,2,1994
AT,CYCLOGYL,2,1995
AT,CYCLOGYL,2,1997
AT,CYCLOGYL,2,1998
AT,CYCLOGYL,2,1999
AT,CYCLOGYL,2,2000
AT,CYCLOGYL,2,2001
AT,CYCLOGYL,2,2002
AT,"DEXAMETHASONE SODIUM PHOSPHATE",2,1996
AT,"DEXAMETHASONE SODIUM PHOSPHATE",2,1997
AT,"DEXAMETHASONE SODIUM PHOSPHATE",2,1999
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,1992
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,1994
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,1995
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,1996
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,1997
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2001
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2002
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2005
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2013
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2014
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2015
AT,"DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER",2,2016
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,1992
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,1994
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,1995
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,1996
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,1997
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2001
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2002
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2005
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2013
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2014
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2015
AT,"DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER",2,2016
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,1992
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,1994
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,1995
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,1996
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,1997
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2001
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2002
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2005
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2013
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2014
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2015
AT,"DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER",2,2016
AT,"DICLOFENAC SODIUM",2,2007
AT,"DICLOFENAC SODIUM",2,2008
AT,"DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE",2,2008
AT,"DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE",2,2014
AT,ERYTHROMYCIN,2,1992
AT,ERYTHROMYCIN,2,1994
AT,ERYTHROMYCIN,2,1995
AT,ERYTHROMYCIN,2,2001
AT,ERYTHROMYCIN,2,2002
AB,DIAZEPAM,2,1989
AB,DIAZEPAM,2,1992
AB,DIAZEPAM,2,1994
AB,DIAZEPAM,2,1999
AB,"DICLOFENAC POTASSIUM",2,1998
AB,"DICLOFENAC POTASSIUM",2,1999
AB,"DICLOFENAC POTASSIUM",2,2002
AB,"DICLOFENAC POTASSIUM",2,2016
AB,"DICLOFENAC SODIUM",2,1995
AB,"DICLOFENAC SODIUM",2,1996
AB,"DICLOFENAC SODIUM",2,1997
AB,"DICLOFENAC SODIUM",2,1999
AB,"DICLOFENAC SODIUM",2,2000
AB,"DICYCLOMINE HYDROCHLORIDE",2,1976
AB,"DICYCLOMINE HYDROCHLORIDE",2,1982
AB,"DICYCLOMINE HYDROCHLORIDE",2,1986
AB,"DICYCLOMINE HYDROCHLORIDE",2,1988
AB,"DICYCLOMINE HYDROCHLORIDE",2,1989
AB,"DICYCLOMINE HYDROCHLORIDE",2,1990
AB,"DICYCLOMINE HYDROCHLORIDE",2,1991
AB,"DICYCLOMINE HYDROCHLORIDE",2,1996
AB,"DICYCLOMINE HYDROCHLORIDE",2,1997
AB,"DICYCLOMINE HYDROCHLORIDE",2,1998
AB,"DICYCLOMINE HYDROCHLORIDE",2,2000
AB,DIFFERIN,2,2014
AB,"DIFLORASONE DIACETATE",2,1999
AB,DIFLUCAN,2,1993
AB,DIFLUCAN,2,1994
AB,DIFLUCAN,2,1995
AB,DIFLUCAN,2,1996
AB,DIFLUCAN,2,1997
AB,DIFLUCAN,2,1999
AB,DIFLUCAN,2,2001
AB,DIFLUCAN,2,2002
AB,DIFLUCAN,2,2004
AB,DIFLUCAN,2,2008
AB,DIFLUCAN,2,2010
AB,DIFLUCAN,2,2011
AB,DIFLUCAN,2,2013
AB,DIFLUCAN,2,2014
AB,DIGOXIN,2,2002
AB,DILANTIN,2,1982
AB,DILANTIN,2,1990
AB,DILANTIN,2,1993
AB,DILANTIN,2,1996
AB,DILANTIN,2,1997
AB,DILANTIN,2,2009
AB,DILANTIN,2,2011
AB,DILANTIN,2,2012
AB,DILANTIN,2,2013
AB,DILANTIN,2,2014
AB,DILANTIN,2,2015
AB,"DILTIAZEM HYDROCHLORIDE",2,1995
AB,"DILTIAZEM HYDROCHLORIDE",2,1999
AB,DIPROLENE,2,1988
AB,DIPROLENE,2,1989
AB,DIPROLENE,2,1990
AB,DIPROLENE,2,1998
AB,DIPROLENE,2,2005
AB,DIPROLENE,2,2006
AB,DIPROLENE,2,2014
AB,DIPYRIDAMOLE,2,1984
AB,DIPYRIDAMOLE,2,1988
AB,DIPYRIDAMOLE,2,1997
AB,DIPYRIDAMOLE,2,2001
AB,DIPYRIDAMOLE,2,2007
AB,"DISOPYRAMIDE PHOSPHATE",2,1987
AB,"DISOPYRAMIDE PHOSPHATE",2,1995
AB,"DISOPYRAMIDE PHOSPHATE",2,1998
AB,"DIVALPROEX SODIUM",2,2012
AB,"DONEPEZIL HYDROCHLORIDE",2,2010
AB,DOXYCYCLINE,2,2001
AB,DOXYCYCLINE,2,2006
AB,DOXYCYCLINE,2,2011
AB,DOXYCYCLINE,2,2012
AB,DOXYCYCLINE,2,2014
AB,"DOXYCYCLINE HYCLATE",2,1983
AB,"DOXYCYCLINE HYCLATE",2,1988
AB,"DOXYCYCLINE HYCLATE",2,1996
AB,"DOXYCYCLINE HYCLATE",2,2016
AB,"DROSPIRENONE AND ETHINYL ESTRADIOL",2,2016
AB,"DULOXETINE HYDROCHLORIDE",2,2015
AB,DUTASTERIDE,2,2016
AB,"ECONAZOLE NITRATE",2,2002
AB,"ECONAZOLE NITRATE",2,2004
AB,ELOCON,2,1987
AB,ELOCON,2,1995
AB,ELOCON,2,1997
AB,"ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE",2,2002
AB,ENTACAPONE,2,2012
AB,ENTECAVIR,2,2015
AB,EPITOL,2,1992
AB,EPITOL,2,1995
AB,EPITOL,2,1996
AB,EPITOL,2,1997
AB,EPITOL,2,1999
AB,EPITOL,2,2000
AB,EPITOL,2,2002
AB,EPLERENONE,2,2008
AB,"ESCITALOPRAM OXALATE",2,2015
AB,ESTAZOLAM,2,1998
AB,ESTAZOLAM,2,2002
AB,ESTRADIOL,2,2000
AB,ESZOPICLONE,2,2011
AB,ESZOPICLONE,2,2013
AB,ETODOLAC,2,1997
AB,ETODOLAC,2,2001
AB,EXELON,2,2013
AB,EXELON,2,2015
AB,"EXTENDED PHENYTOIN SODIUM",2,2006
AB,"EXTENDED PHENYTOIN SODIUM",2,2008
AB,FAMOTIDINE,2,2002
AB,FAMOTIDINE,2,2010
AB,FELBAMATE,2,2011
AB,FELODIPINE,2,2011
AB,FENOFIBRATE,2,2012
AB,"FENOFIBRATE (MICRONIZED)",2,2013
AB,"FENOFIBRIC ACID",2,2013
AB,"FENTANYL CITRATE",2,2009
AB,FENTANYL-100,2,2015
AB,FENTANYL-12,2,2015
AB,FENTANYL-25,2,2015
AB,FENTANYL-50,2,2015
AB,FENTANYL-75,2,2015
AB,"FEXOFENADINE HYDROCHLORIDE",2,2005
